epoch,train_total,train_midline,train_qc,val_total,val_midline,val_qc,lr,time_s
76,0.388036,0.387974,0.000062,0.387972,0.387900,0.000072,0.00068438,25.0
77,0.380483,0.380417,0.000066,0.370157,0.370085,0.000071,0.00067706,25.0
78,0.381105,0.381042,0.000063,0.379885,0.379816,0.000070,0.00066970,25.0
79,0.382026,0.381966,0.000060,0.387744,0.387675,0.000069,0.00066230,25.1
80,0.377993,0.377930,0.000064,0.378933,0.378863,0.000070,0.00065485,25.0
81,0.380013,0.379944,0.000069,0.399446,0.399378,0.000068,0.00064737,25.0
82,0.393567,0.393499,0.000068,0.390491,0.390422,0.000069,0.00063986,25.1
83,0.382188,0.382126,0.000062,0.380880,0.380811,0.000069,0.00063230,25.1
84,0.371193,0.371131,0.000062,0.388589,0.388520,0.000070,0.00062472,25.0
85,0.378254,0.378189,0.000064,0.375838,0.375769,0.000069,0.00061711,25.1
86,0.377816,0.377751,0.000065,0.405144,0.405077,0.000067,0.00060946,24.9
87,0.392105,0.392042,0.000063,0.383081,0.383015,0.000067,0.00060179,25.0
88,0.380744,0.380683,0.000061,0.381087,0.381021,0.000066,0.00059410,25.1
89,0.376578,0.376516,0.000062,0.390621,0.390556,0.000065,0.00058638,25.0
90,0.377650,0.377587,0.000062,0.373068,0.373003,0.000065,0.00057864,24.9
91,0.369111,0.369051,0.000059,0.383840,0.383775,0.000065,0.00057088,25.0
92,0.369934,0.369874,0.000060,0.400823,0.400757,0.000065,0.00056310,25.0
93,0.367426,0.367368,0.000057,0.376860,0.376796,0.000064,0.00055531,25.0
94,0.372993,0.372929,0.000064,0.393953,0.393888,0.000065,0.00054751,25.0
95,0.373219,0.373159,0.000060,0.386592,0.386528,0.000064,0.00053969,25.0
96,0.364851,0.364791,0.000061,0.380405,0.380341,0.000064,0.00053186,25.1
97,0.368744,0.368679,0.000065,0.382367,0.382303,0.000064,0.00052403,25.0
98,0.364518,0.364456,0.000062,0.386349,0.386285,0.000064,0.00051619,25.0
99,0.364182,0.364122,0.000060,0.377748,0.377686,0.000063,0.00050835,25.0
100,0.364415,0.364360,0.000055,0.371974,0.371911,0.000063,0.00050050,25.0
101,0.367193,0.367130,0.000063,0.378442,0.378380,0.000063,0.00049265,25.0
102,0.357978,0.357918,0.000060,0.385597,0.385535,0.000062,0.00048481,25.0
103,0.377492,0.377433,0.000058,0.397522,0.397459,0.000062,0.00047697,25.1
104,0.372942,0.372889,0.000053,0.386887,0.386825,0.000062,0.00046914,25.1
105,0.357982,0.357930,0.000052,0.389011,0.388949,0.000062,0.00046131,25.0
106,0.359888,0.359829,0.000059,0.386641,0.386580,0.000061,0.00045349,25.0
107,0.364063,0.364009,0.000054,0.380206,0.380145,0.000061,0.00044569,25.0
